system,truth_nm,estimate_nm,error_nm,confidence,repeat
top_2_z04_c2_s2_hm1__z08_c2_s2_hp1,487.0,487.0117334164247,0.011733416424704046,0.05418464542203825,18
top_3_z06_c2_s2_hp1__z06_c2_s2_hp1,487.0,486.8896223166272,-0.1103776833728034,0.061406362675171904,18
double_helix,487.0,487.01650233179794,0.016502331797937586,0.08722984376954755,19
best_single_helix,487.0,486.9080025993379,-0.09199740066208051,0.11739237705978021,19
original_dual_plus_minus,487.0,487.00849899485297,0.008498994852971009,0.0441461424318384,19
top_1_z06_c2_s2_hm1__z06_c2_s2_hm1,487.0,486.89875440495484,-0.10124559504515673,0.05989719626895037,19
top_2_z04_c2_s2_hm1__z08_c2_s2_hp1,487.0,487.1768071914701,0.17680719147011814,0.03804150624203396,19
top_3_z06_c2_s2_hp1__z06_c2_s2_hp1,487.0,486.8943032690126,-0.10569673098740395,0.06164768765493404,19
double_helix,542.0,541.4624539309388,-0.5375460690612499,0.10780219667158102,0
best_single_helix,542.0,541.543358033493,-0.4566419665070498,0.14212838220055193,0
original_dual_plus_minus,542.0,541.6888032863151,-0.31119671368492163,0.03825280968431573,0
top_1_z06_c2_s2_hm1__z06_c2_s2_hm1,542.0,542.0129651699069,0.012965169906919982,0.03984730362581133,0
top_2_z04_c2_s2_hm1__z08_c2_s2_hp1,542.0,541.7557117546585,-0.24428824534152227,0.05653704381762523,0
top_3_z06_c2_s2_hp1__z06_c2_s2_hp1,542.0,541.5339834915068,-0.46601650849322596,0.08076169599627825,0
double_helix,542.0,541.3911702672997,-0.6088297327003147,0.11465931963747861,1
best_single_helix,542.0,542.0578534175613,0.057853417561318565,0.06784539246448383,1
original_dual_plus_minus,542.0,541.3335943976392,-0.6664056023607827,0.0550973285340525,1
top_1_z06_c2_s2_hm1__z06_c2_s2_hm1,542.0,541.9062346624232,-0.09376533757676953,0.04528339531708918,1
top_2_z04_c2_s2_hm1__z08_c2_s2_hp1,542.0,541.4591915173955,-0.5408084826044615,0.08150733900110713,1
top_3_z06_c2_s2_hp1__z06_c2_s2_hp1,542.0,541.7551025965104,-0.24489740348963096,0.059472289757731917,1
double_helix,542.0,541.4687631707694,-0.5312368292305791,0.10713525898105054,2
best_single_helix,542.0,541.6202644913343,-0.3797355086657035,0.12659054791627816,2
original_dual_plus_minus,542.0,541.7966639949342,-0.2033360050658075,0.031843580194929735,2
top_1_z06_c2_s2_hm1__z06_c2_s2_hm1,542.0,541.4053866381823,-0.5946133618176646,0.08930325546645397,2
top_2_z04_c2_s2_hm1__z08_c2_s2_hp1,542.0,541.3940984066996,-0.6059015933003593,0.08500552412906501,2
top_3_z06_c2_s2_hp1__z06_c2_s2_hp1,542.0,541.7406252144029,-0.2593747855970605,0.05982227828772874,2
double_helix,542.0,541.4605587092902,-0.5394412907097603,0.11006994296792472,3
best_single_helix,542.0,541.8732164511765,-0.1267835488234823,0.093921032401951,3
original_dual_plus_minus,542.0,541.5794385631299,-0.42056143687011627,0.039043572677620056,3
top_1_z06_c2_s2_hm1__z06_c2_s2_hm1,542.0,541.8085812400801,-0.191418759919884,0.0523981508714935,3
top_2_z04_c2_s2_hm1__z08_c2_s2_hp1,542.0,541.3571977121514,-0.6428022878485535,0.0927456052082473,3
top_3_z06_c2_s2_hp1__z06_c2_s2_hp1,542.0,542.0643438804829,0.064343880482852,0.03516935398122798,3
double_helix,542.0,541.3969721498592,-0.6030278501408475,0.10844834735626258,4
best_single_helix,542.0,541.6885477362976,-0.3114522637024493,0.12138918911111067,4
